# MLP λ=0.02 (6.48M steps): 8 Patterns × 45 Rates (0.01-0.45)
# Columns: traffic, rate, latency_cyc, flits

bit_rotation,0.07,7.7,20652
bit_rotation,0.08,7.7,23611
bit_rotation,0.09,7.8,26556
bit_rotation,0.10,8.0,29711
bit_rotation,0.11,8.1,32736
bit_rotation,0.12,8.3,35768
bit_rotation,0.13,8.5,38710
bit_rotation,0.14,9.0,41371
bit_rotation,0.15,9.1,44314
bit_rotation,0.16,9.9,47287
bit_rotation,0.17,10.6,50191
bit_rotation,0.18,12.8,53123
bit_rotation,0.19,20.7,55597
bit_rotation,0.20,30.7,57972
bit_rotation,0.21,48.5,58837
bit_rotation,0.22,56.5,59868
bit_rotation,0.23,57.5,60596
bit_rotation,0.24,64.2,61618
bit_rotation,0.25,62.8,63475
bit_rotation,0.26,62.9,64053
bit_rotation,0.27,72.4,65412
bit_rotation,0.28,64.6,66688
bit_rotation,0.29,70.5,67599
bit_rotation,0.30,65.6,68846
bit_rotation,0.31,61.6,69706
bit_rotation,0.32,64.8,70904
bit_rotation,0.33,69.2,69993
bit_rotation,0.34,70.9,70954
bit_rotation,0.35,86.3,70706
bit_rotation,0.36,70.7,70737
bit_rotation,0.37,78.5,71805
bit_rotation,0.38,81.8,71587
bit_rotation,0.39,81.8,71851
bit_rotation,0.40,92.8,71397
bit_rotation,0.41,104.0,71241
bit_rotation,0.42,107.2,73081
bit_rotation,0.43,105.2,72837
bit_rotation,0.44,111.8,74326
bit_rotation,0.45,110.5,73465
shuffle,0.01,7.4,2741
shuffle,0.02,7.3,5847
shuffle,0.03,7.4,8783
shuffle,0.04,7.4,11794
shuffle,0.05,7.5,14765
shuffle,0.06,7.5,17659
shuffle,0.07,7.7,20650
shuffle,0.08,7.7,23617
shuffle,0.09,7.9,26555
shuffle,0.10,8.0,29710
shuffle,0.11,8.1,32726
shuffle,0.12,8.2,35752
shuffle,0.13,8.5,38703
shuffle,0.14,8.7,41426
shuffle,0.15,9.1,44316
shuffle,0.16,9.4,47310
shuffle,0.17,10.3,50185
shuffle,0.18,12.4,53165
shuffle,0.19,12.5,53031
shuffle,0.20,10.5,49054
shuffle,0.21,12.4,53551
shuffle,0.22,14.3,53447
shuffle,0.23,12.0,56615
shuffle,0.24,15.0,50838
shuffle,0.25,14.4,53607
shuffle,0.26,11.5,52312
shuffle,0.27,22.9,56835
shuffle,0.28,27.5,57253
shuffle,0.29,23.6,57454
shuffle,0.30,54.5,58787
shuffle,0.31,39.8,60843
shuffle,0.32,40.4,57171
shuffle,0.33,72.9,60970
shuffle,0.34,57.3,66422
shuffle,0.35,84.1,60063
shuffle,0.36,65.5,60580
shuffle,0.37,89.4,64215
shuffle,0.38,89.1,64802
shuffle,0.39,86.6,65425
shuffle,0.40,111.0,66165
shuffle,0.41,84.3,68045
shuffle,0.42,80.3,70473
shuffle,0.43,111.0,68122
shuffle,0.44,127.3,67854
shuffle,0.45,107.0,72132
transpose,0.01,8.4,2733
transpose,0.02,8.6,5847
transpose,0.03,8.8,8779
transpose,0.04,8.8,11780
transpose,0.05,8.9,14757
transpose,0.06,9.0,17636
transpose,0.07,9.2,20624
transpose,0.08,9.3,23586
transpose,0.09,9.5,26521
transpose,0.10,10.2,29690
transpose,0.11,11.0,32691
transpose,0.12,14.3,35617
transpose,0.13,20.7,38235
transpose,0.14,25.5,40338
transpose,0.15,35.2,41850
transpose,0.16,38.0,43703
transpose,0.17,41.1,45496
transpose,0.18,44.5,47285
transpose,0.19,49.5,48273
transpose,0.20,54.2,49967
transpose,0.21,54.3,51039
transpose,0.22,61.3,52229
transpose,0.23,57.7,53184
transpose,0.24,67.9,54151
transpose,0.25,74.7,55098
transpose,0.26,73.4,56348
transpose,0.27,81.3,56998
transpose,0.28,88.6,57976
transpose,0.29,93.7,58362
transpose,0.30,98.6,59264
transpose,0.31,102.1,60015
transpose,0.32,105.5,60819
transpose,0.33,108.2,61531
transpose,0.34,110.4,61942
transpose,0.35,114.2,62597
transpose,0.36,111.3,63274
transpose,0.37,111.1,63874
transpose,0.38,120.0,64219
transpose,0.39,108.3,65311
transpose,0.40,112.0,65528
transpose,0.41,107.5,66248
transpose,0.42,108.0,66470
transpose,0.43,109.6,67255
transpose,0.44,117.7,68113
transpose,0.45,124.7,68593
neighbor,0.01,4.9,2744
neighbor,0.02,5.1,5853
neighbor,0.03,5.1,8786
neighbor,0.04,5.1,11810
neighbor,0.05,5.0,14790
neighbor,0.06,5.0,17673
neighbor,0.07,5.1,20683
neighbor,0.08,5.1,23642
neighbor,0.09,5.0,26609
neighbor,0.10,5.1,29743
neighbor,0.11,5.1,32788
neighbor,0.12,5.1,35832
neighbor,0.13,5.1,38757
neighbor,0.14,5.1,41497
neighbor,0.15,5.2,44380
neighbor,0.16,5.2,47342
neighbor,0.17,5.1,50306
neighbor,0.18,5.1,53389
neighbor,0.19,5.2,56365
neighbor,0.20,5.2,59320
neighbor,0.21,5.2,62419
neighbor,0.22,5.2,65391
neighbor,0.23,5.2,68177
neighbor,0.24,5.2,71467
neighbor,0.25,5.2,74578
neighbor,0.26,5.2,77615
neighbor,0.27,5.2,80509
neighbor,0.28,5.2,83410
neighbor,0.29,5.3,86480
neighbor,0.30,5.3,89258
neighbor,0.31,5.3,91982
neighbor,0.32,5.3,94775
neighbor,0.33,5.3,97548
neighbor,0.34,5.3,100531
neighbor,0.35,5.3,103490
neighbor,0.36,5.4,106326
neighbor,0.37,5.4,109117
neighbor,0.38,5.4,112355
neighbor,0.39,5.4,115222
neighbor,0.40,5.4,118195
neighbor,0.41,5.4,120961
neighbor,0.42,5.5,123684
neighbor,0.43,5.5,126995
neighbor,0.44,5.5,130177
neighbor,0.45,5.5,132874
