# XY Routing Baseline: 8 Patterns × 50 Rates (0.01-0.50)
# 8×8 Mesh, XY DOR, 2M sim-cycles
# Columns: traffic, rate, latency_cyc, flits_received

bit_reverse,0.37,147.8,52946
bit_reverse,0.38,149.2,52795
bit_reverse,0.39,156.0,53284
bit_reverse,0.40,160.7,53333
bit_reverse,0.41,162.3,54275
bit_reverse,0.42,170.0,54625
bit_reverse,0.43,168.7,54901
bit_reverse,0.44,179.7,55021
bit_reverse,0.45,184.8,55219
bit_reverse,0.46,185.6,56418
bit_reverse,0.47,185.0,56963
bit_reverse,0.48,192.3,56821
bit_reverse,0.49,194.5,57276
bit_reverse,0.50,200.0,57644
bit_rotation,0.01,7.3,2743
bit_rotation,0.02,7.4,5846
bit_rotation,0.03,7.4,8782
bit_rotation,0.04,7.5,11790
bit_rotation,0.05,7.5,14762
bit_rotation,0.06,7.6,17661
bit_rotation,0.07,7.7,20652
bit_rotation,0.08,7.7,23615
bit_rotation,0.09,7.8,26556
bit_rotation,0.10,8.0,29718
bit_rotation,0.11,8.1,32733
bit_rotation,0.12,8.4,35770
bit_rotation,0.13,8.5,38710
bit_rotation,0.14,8.9,41403
bit_rotation,0.15,9.4,44283
bit_rotation,0.16,9.8,47272
bit_rotation,0.17,10.8,50193
bit_rotation,0.18,14.5,53083
bit_rotation,0.19,19.1,55705
bit_rotation,0.20,34.6,57283
bit_rotation,0.21,46.1,58941
bit_rotation,0.22,62.2,59931
bit_rotation,0.23,63.3,61564
bit_rotation,0.24,67.1,62211
bit_rotation,0.25,66.8,63945
bit_rotation,0.26,73.7,64421
bit_rotation,0.27,71.9,65249
bit_rotation,0.28,68.2,66848
bit_rotation,0.29,68.2,67765
bit_rotation,0.30,65.5,68601
bit_rotation,0.31,68.2,69650
bit_rotation,0.32,68.4,71064
bit_rotation,0.33,65.2,71104
bit_rotation,0.34,70.3,72294
bit_rotation,0.35,71.1,72908
bit_rotation,0.36,66.1,74317
bit_rotation,0.37,70.3,75175
bit_rotation,0.38,72.4,75705
bit_rotation,0.39,76.4,76458
bit_rotation,0.40,79.2,77272
bit_rotation,0.41,87.1,77792
bit_rotation,0.42,87.8,79043
bit_rotation,0.43,91.8,80155
bit_rotation,0.44,95.7,80415
bit_rotation,0.45,103.9,80790
bit_rotation,0.46,104.2,82167
bit_rotation,0.47,110.0,82338
bit_rotation,0.48,108.4,83049
bit_rotation,0.49,112.7,84200
bit_rotation,0.50,117.8,84225
shuffle,0.01,7.4,2741
shuffle,0.02,7.3,5847
shuffle,0.03,7.4,8783
shuffle,0.04,7.4,11794
shuffle,0.05,7.5,14764
shuffle,0.06,7.5,17659
shuffle,0.07,7.7,20649
shuffle,0.08,7.8,23613
shuffle,0.09,7.9,26550
shuffle,0.10,8.0,29694
shuffle,0.11,8.0,32723
shuffle,0.12,8.2,35760
